Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Dental Insurance Increment,,104.35,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Group Life Ad & Di,219.34,52.1,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Health Insurance,37785.12,9816,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Health Insurance Increment,2263.3,3825.14,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Medicare,3533.77,839.39,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Retirement,17588.05,4552.24,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Social Security,15109.91,3589.15,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Supplemental Retirement,6691.1,1672.1,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Miscellaneous,Licenses/Dues & Publications,1000,0,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Miscellaneous,Training & Travel & Reg,5000,0,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Salaries and Wages,Holiday Pay,1500,1500,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Salaries and Wages,Salaries-Ft,243708.2,57889.44,FALSE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Salaries and Wages,Salaries-Ot For Ft Staff,1500,1500,FALSE,0
General Fund,Office of Sustainability,Direct Expenses,Computer Lease,8083,0,FALSE,0
General Fund,Office of Sustainability,Direct Expenses,Copier Maintenance/Impressions,1000,0,FALSE,0
General Fund,Office of Sustainability,Direct Expenses,Motor Pool Vehicle Use Costs,500,0,FALSE,0
General Fund,Office of Sustainability,Direct Expenses,Office Supplies,1000,0,FALSE,0
General Fund,Office of Sustainability,Direct Expenses,Operational & Maint Supplies,22000,0,FALSE,0
General Fund,Office of Sustainability,Direct Expenses,Photocopy Maint,1500,0,FALSE,0
General Fund,Office of Sustainability,Direct Expenses,Print Copy-Rmb,8000,0,FALSE,0
General Fund,Office of Sustainability,Direct Expenses,Professional Svcs-Other,50000,0,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Dental Insurance,1417.2,-948,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Dental Insurance Increment,,196.78,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,FICA Temp,4790.43,0,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Group Life Ad & Di,274.63,-9.98,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Health Insurance,22740,-10224,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Health Insurance Increment,1682.76,4161.65,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Medicare,4424.68,-160.56,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Medicare Temp,1120.34,0,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Retirement,22123.42,-12.25,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Social Security,18919.34,-686.54,FALSE,0
General Fund,Office of Sustainability,Employee Benefits,Supplemental Retirement,6429.12,-2004.72,FALSE,0
General Fund,Office of Sustainability,Miscellaneous,Advertising,2500,0,FALSE,0
General Fund,Office of Sustainability,Miscellaneous,Licenses/Dues & Publications,2100,0,FALSE,0
General Fund,Office of Sustainability,Miscellaneous,Mileage Reimb,200,0,FALSE,0
General Fund,Office of Sustainability,Miscellaneous,Training & Travel & Reg,12000,0,FALSE,0
General Fund,Office of Sustainability,Salaries and Wages,Longevity,2124.26,-928.14,FALSE,0
General Fund,Office of Sustainability,Salaries and Wages,Salaries-Ft,303026.32,-10145.11,FALSE,0
General Fund,Office of Sustainability,Salaries and Wages,Salaries-Pt Temp/Seasonal,77265,0,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Computer Lease,42864.48,-1952.8,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Contractual Svcs-Other,135000,-15000,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Copier Maintenance/Impressions,682.2,-0.8,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Equipment Usage Charge,74120,4140,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Office Supplies,6510,1190,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Operational & Maint Supplies,49100,8250,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Photocopy Maint,232.92,-0.08,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Print Copy-Rmb,2000,500,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Small Equipment,5500,2500,FALSE,0
General Fund,Office of the Fire Marshall,Direct Expenses,Uniforms,,-2500,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Dental Insurance,23476.24,707.52,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Dental Insurance Increment,,1808.66,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,FICA Temp,7876.23,-2107.13,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Group Life Ad & Di,2161.19,72.23,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Health Insurance,301023.36,-1941.12,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Health Insurance Increment,21742.93,43442.98,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Medicare,34819.26,1163.24,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Medicare Temp,1842.02,-492.8,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Retirement,173986.85,11424.53,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Retirement Temp,9400.66,-2514.97,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Social Security,148882.36,4974.01,FALSE,0
General Fund,Office of the Fire Marshall,Employee Benefits,Supplemental Retirement,51475.7,-1569.22,FALSE,0
General Fund,Office of the Fire Marshall,Miscellaneous,Licenses/Dues & Publications,14830,2048,FALSE,0
General Fund,Office of the Fire Marshall,Miscellaneous,Training & Travel & Reg,47012,10522,FALSE,0
General Fund,Office of the Fire Marshall,Salaries and Wages,Holiday Pay,16985,0,FALSE,0
General Fund,Office of the Fire Marshall,Salaries and Wages,Longevity,34370.33,1324,FALSE,0
General Fund,Office of the Fire Marshall,Salaries and Wages,Salaries-Ft,2366958.1,78901.91,FALSE,0
General Fund,Office of the Fire Marshall,Salaries and Wages,Salaries-Ot For Ft Staff,110051,-33986,FALSE,0
General Fund,Office of the Fire Marshall,Salaries and Wages,Salaries-Pt Temp/Seasonal,24570,24570,FALSE,0
General Fund,Other Agencies w COR Support,Other Expense,Other External Agencies,623059,114059,FALSE,0
General Fund,Park Facility Maintenance,Capital Equipment,Shop Tools & Equip,21000,21000,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Chemicals,3200,3200,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Computer Lease,26718,26718,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Computer Operations & Access,1221.85,1221.85,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Copier Maintenance/Impressions,1252.8,1252.8,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Electric Service,5620,5620,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Equipment Usage Charge,53220,53220,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Motor Fuels & Lubricants,47575,47575,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Office Supplies,769.4,769.4,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Operational & Maint Supplies,215000.32,215000.32,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Photocopy Maint,381,381,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Professional Svcs-Other,8150,8150,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Rental-Equipment,21147.35,21147.35,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Rental-Real Property,201235.34,201235.34,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Repairs-Bldg/Structure,274982.46,274982.46,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Repairs-Other Equip,4495,4495,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Security Services,77959.06,77959.06,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Service Contracts-Other,251153.9,251153.9,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Small Equipment,15896,15896,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Telephone/Comm (Hard Lines),27783.78,27783.78,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Uniforms,6900,6900,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Vehicle Maint & Operation,48970,48970,FALSE,0
General Fund,Park Facility Maintenance,Direct Expenses,Wireless Data Comm,19381,19381,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Dental Insurance,12841.6,12841.6,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,FICA Temp,1853.8,1853.8,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Group Life Ad & Di,977.27,977.27,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Health Insurance,153063.36,153063.36,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Health Insurance Increment,10793.89,10793.89,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Medicare,15744.57,15744.57,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Medicare Temp,433.55,433.55,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Retirement,78656.38,78656.38,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Retirement Temp,2212.6,2212.6,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Social Security,67321.59,67321.59,FALSE,0
General Fund,Park Facility Maintenance,Employee Benefits,Supplemental Retirement,18113.77,18113.77,FALSE,0
General Fund,Park Facility Maintenance,Interfund Transfers In/Out,To 310 W/S Reimb,5400,5400,FALSE,0
General Fund,Park Facility Maintenance,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,3000,3000,FALSE,0
General Fund,Park Facility Maintenance,Miscellaneous,Licenses/Dues & Publications,740,740,FALSE,0
General Fund,Park Facility Maintenance,Miscellaneous,Training & Travel & Reg,2434,2434,FALSE,0
General Fund,Park Facility Maintenance,Salaries and Wages,Holiday Pay,1126,1126,FALSE,0
General Fund,Park Facility Maintenance,Salaries and Wages,Longevity,12167.78,12167.78,FALSE,0
General Fund,Park Facility Maintenance,Salaries and Wages,Salaries-Ft,1073664.38,1073664.38,FALSE,0
General Fund,Park Facility Maintenance,Salaries and Wages,Salaries-Ot For Ft Staff,28774,28774,FALSE,0
General Fund,Payroll,Direct Expenses,Computer Lease,2500,-1000,FALSE,0
General Fund,Payroll,Direct Expenses,Copier Maintenance/Impressions,3700,100,FALSE,0
General Fund,Payroll,Direct Expenses,Office Supplies,1500,-2500,FALSE,0
General Fund,Payroll,Direct Expenses,Operational & Maint Supplies,2500,-1500,FALSE,0
General Fund,Payroll,Direct Expenses,Photocopy Maint,2900,0,FALSE,0
General Fund,Payroll,Employee Benefits,Dental Insurance,2480.32,-668.96,FALSE,0
General Fund,Payroll,Employee Benefits,Dental Insurance Increment,,262.02,FALSE,0
General Fund,Payroll,Employee Benefits,FICA Temp,3043.83,1749.21,FALSE,0
General Fund,Payroll,Employee Benefits,Group Life Ad & Di,303.22,-13.95,FALSE,0
General Fund,Payroll,Employee Benefits,Health Insurance,35121.12,-3933.12,FALSE,0
General Fund,Payroll,Employee Benefits,Health Insurance Increment,2598.96,5535.84,FALSE,0
General Fund,Payroll,Employee Benefits,Medicare,4885.12,-224.78,FALSE,0
General Fund,Payroll,Employee Benefits,Medicare Temp,711.86,409.09,FALSE,0
General Fund,Payroll,Employee Benefits,Retirement,24425.65,-242.83,FALSE,0
General Fund,Payroll,Employee Benefits,Retirement Temp,,-370,FALSE,0
General Fund,Payroll,Employee Benefits,Social Security,20888.15,-961.06,FALSE,0
General Fund,Payroll,Employee Benefits,Supplemental Retirement,8043.69,1219.77,FALSE,0
General Fund,Payroll,Miscellaneous,Licenses/Dues & Publications,600,-500,FALSE,0
General Fund,Payroll,Miscellaneous,Records Storage Retention Svcs,1200,300,FALSE,0
General Fund,Payroll,Miscellaneous,Training & Travel & Reg,2000,-2000,FALSE,0
General Fund,Payroll,Salaries and Wages,Expense Allowance,504,0,FALSE,0
General Fund,Payroll,Salaries and Wages,Longevity,2845.94,-4803.52,FALSE,0
General Fund,Payroll,Salaries and Wages,Salaries-Ft,334059.72,-10697.45,FALSE,0
General Fund,Payroll,Salaries and Wages,Salaries-Ot For Ft Staff,5000,0,FALSE,0
General Fund,Payroll,Salaries and Wages,Salaries-Pt Temp/Seasonal,43590,28213,FALSE,0
General Fund,Planning,Capital Project Expense,Const Renovation,,-25000,FALSE,0
General Fund,Planning,Direct Expenses,Appraisal/Environmental Assess,15000,5000,FALSE,0
General Fund,Planning,Direct Expenses,Computer Lease,54370,-3972,FALSE,0
General Fund,Planning,Direct Expenses,Computer Operations & Access,23100,-2220,FALSE,0
General Fund,Planning,Direct Expenses,Contractual Svcs-Other,24000,5000,FALSE,0
General Fund,Planning,Direct Expenses,Copier Maintenance/Impressions,17774,-6500,FALSE,0
General Fund,Planning,Direct Expenses,Equipment Usage Charge,39104,20500,FALSE,0
General Fund,Planning,Direct Expenses,Legal Services,25000,14200,FALSE,0
General Fund,Planning,Direct Expenses,Motor Fuels & Lubricants,25218,1672,FALSE,0
General Fund,Planning,Direct Expenses,Motor Pool Vehicle Use Costs,1600,-600,FALSE,0
General Fund,Planning,Direct Expenses,Office Supplies,28171,-7379,FALSE,0
General Fund,Planning,Direct Expenses,Operational & Maint Supplies,20911,-3589,FALSE,0
General Fund,Planning,Direct Expenses,Photocopy Maint,18550,-448,FALSE,0
General Fund,Planning,Direct Expenses,Print Copy-Rmb,17100,-9939.4,FALSE,0
General Fund,Planning,Direct Expenses,Professional Svcs-Other,316000,182000,FALSE,0
General Fund,Planning,Direct Expenses,Rental-Real Property,67710,1972.64,FALSE,0
General Fund,Planning,Direct Expenses,Repairs-Office Equip,250,-750,FALSE,0
General Fund,Planning,Direct Expenses,Small Equipment,4200,450,FALSE,0
General Fund,Planning,Direct Expenses,Telephone/Comm (Hard Lines),1350,-100,FALSE,0
General Fund,Planning,Direct Expenses,Vehicle Maint & Operation,23000,10200,FALSE,0
General Fund,Planning,Direct Expenses,Wan Data Line,3200,0,FALSE,0
General Fund,Planning,Direct Expenses,Wireless Data Comm,16194,4564,FALSE,0
General Fund,Planning,Employee Benefits,Dental Insurance,28483.64,-7480.52,FALSE,0
General Fund,Planning,Employee Benefits,Dental Insurance Increment,,2863.67,FALSE,0
General Fund,Planning,Employee Benefits,FICA Temp,2873.82,-1669.61,FALSE,0
General Fund,Planning,Employee Benefits,Group Life Ad & Di,2682.04,-595.45,FALSE,0
General Fund,Planning,Employee Benefits,Health Insurance,351759.36,-86301.12,FALSE,0
General Fund,Planning,Employee Benefits,Health Insurance Increment,24964.6,56282.43,FALSE,0
General Fund,Planning,Employee Benefits,Medicare,43210.94,-9593,FALSE,0
General Fund,Planning,Employee Benefits,Medicare Temp,672.11,-390.46,FALSE,0
General Fund,Planning,Employee Benefits,Retirement,215756.58,-39287.94,FALSE,0
General Fund,Planning,Employee Benefits,Social Security,184764.28,-41018.06,FALSE,0
General Fund,Planning,Employee Benefits,Supplemental Retirement,69436.17,-20147.89,FALSE,0
General Fund,Planning,Interfund Transfers In/Out,To 810 Grants/Grants Match,,-223994,FALSE,0
General Fund,Planning,Miscellaneous,Advertising,44000,2000,FALSE,0
General Fund,Planning,Miscellaneous,Licenses/Dues & Publications,19625,-5040,FALSE,0
General Fund,Planning,Miscellaneous,Mileage Reimb,1050,-450,FALSE,0
General Fund,Planning,Miscellaneous,Postage,,-10,FALSE,0
General Fund,Planning,Miscellaneous,Postage - Dept Charges,12000,-8000,FALSE,0
General Fund,Planning,Miscellaneous,Records Storage Retention Svcs,4000,4000,FALSE,0
General Fund,Planning,Miscellaneous,Row Misc - Direct Exp,1000,0,FALSE,0
General Fund,Planning,Miscellaneous,Training & Travel & Reg,39300,-6600,FALSE,0
General Fund,Planning,Salaries and Wages,Expense Allowance,20352,-1000,FALSE,0
General Fund,Planning,Salaries and Wages,Longevity,37289.3,-16121.2,FALSE,0
General Fund,Planning,Salaries and Wages,Salaries-Ft,2942780.01,-645459.69,FALSE,0
